DATE,N4456C0A052NBEA
1998-01-01,50038.0
1999-01-01,58898.0
2000-01-01,67292.0
2001-01-01,74017.0
2002-01-01,67981.0
2003-01-01,70753.0
2004-01-01,78631.0
2005-01-01,80678.0
2006-01-01,84189.0
2007-01-01,86226.0
2008-01-01,87839.0
2009-01-01,90137.0
2010-01-01,96238.0
2011-01-01,103185.0
2012-01-01,108511.0
2013-01-01,131889.0
2014-01-01,135371.0
2015-01-01,144167.0
2016-01-01,153294.0
2017-01-01,170143.0
2018-01-01,184016.0
2019-01-01,195844.0
2020-01-01,212124.0
2021-01-01,241324.0
2022-01-01,219646.0
